Model,Code
WRANGLER,0
TAHOE4WD,1
X5AWD,2
SRXLUXURY,3
3,4
C-CLASSC300,5
CAMRYL,6
TACOMAPRERUNNER,7
LACROSSE4DR,8
CHARGERSXT,9
CAMRYLE,10
JETTA,11
ACADIAFWD,12
ESCAPESE,13
SONATALIMITED,14
SANTA,15
OUTLANDER,16
CRUZESEDAN,17
CIVIC,18
COROLLAL,19
350Z2DR,20
EDGESEL,21
F-1502WD,22
FOCUSSE,23
PATRIOTSPORT,24
ACCORD,25
MUSTANGGT,26
FUSIONHYBRID,27
COLORADOCREW,28
WRANGLER4WD,29
CR-VEX-L,30
CTS,31
CHEROKEELIMITED,32
YUKON,33
ELANTRA,34
NEW,35
COROLLALE,36
CANYON4WD,37
GOLF,38
SONATA4DR,39
ELANTRA4DR,40
PATRIOTLATITUDE,41
MAZDA35DR,42
TACOMA2WD,43
COROLLA4DR,44
SILVERADO,45
TERRAINFWD,46
ESCAPEFWD,47
GRAND,48
RAV4FWD,49
LIBERTY4WD,50
FOCUSTITANIUM,51
DURANGOAWD,52
S60T5,53
CIVICLX,54
MURANOAWD,55
FORTEEX,56
TRAVERSEAWD,57
CAMAROCONVERTIBLE,58
SPORTAGE2WD,59
PATHFINDER4WD,60
HIGHLANDER4DR,61
WRXSTI,62
RAM,63
F-150XLT,64
SIENNAXLE,65
LACROSSEFWD,66
ROGUEFWD,67
CAMAROCOUPE,68
JOURNEYSXT,69
ACCORDEX-L,70
ESCAPE4WD,71
OPTIMAEX,72
FUSIONSE,73
5,74
F-150SUPERCREW,75
200LIMITED,76
MALIBU,77
COMPASSSPORT,78
G37,79
CANYONCREW,80
MALIBU1LT,81
MUSTANGPREMIUM,82
MUSTANGBASE,83
SIERRA,84
FLEXLIMITED,85
TAHOE2WD,86
TRANSIT,87
OUTBACK2.5I,88
TUCSONLIMITED,89
ROVER,90
CAYENNEAWD,91
MALIBULT,92
TUCSONFWD,93
F-150FX2,94
CAMARO2DR,95
COLORADO4WD,96
SONATASE,97
ESES,98
ENCLAVEPREMIUM,99
CR-VEX,100
F-150STX,101
IMPREZA,102
EQUINOXFWD,103
COOPER,104
SUPER,105
PASSAT4DR,106
911,107
CIVICEX,108
CAMRYSE,109
HIGHLANDER4WD,110
CORVETTE2DR,111
200S,112
PILOTLX,113
SORENTOEX,114
RIOLX,115
EXPLORERXLT,116
CORVETTECOUPE,117
ENCLAVELEATHER,118
AVALANCHE4WD,119
TACOMABASE,120
VERSA5DR,121
MKXFWD,122
SL-CLASSSL500,123
VERACRUZFWD,124
COROLLAS,125
PRIUSTWO,126
CR-V2WD,127
LUCERNE4DR,128
4RUNNER4DR,129
PILOTTOURING,130
CR-VLX,131
COMPASSLATITUDE,132
ALTIMA4DR,133
OPTIMALX,134
FOCUS5DR,135
CHARGER4DR,136
ACADIAAWD,137
JOURNEYFWD,138
7,139
RX,140
MALIBULS,141
LSLS,142
SPORTAGELX,143
YUKON4WD,144
SORENTOLX,145
TIGUANSEL,146
CAMRY4DR,147
F-1504WD,148
PRIUSBASE,149
ACCORDLX,150
Q7QUATTRO,151
EXPLORERLIMITED,152
4RUNNERSR5,153
ODYSSEYEX-L,154
C-CLASSC,155
CX-9FWD,156
JOURNEYAWD,157
SORENTO2WD,158
F-250LARIAT,159
PRIUS,160
TAHOELT,161
25004WD,162
ESCALADE4DR,163
GTI4DR,164
4RUNNERRWD,165
FX35AWD,166
XC90T6,167
TAURUS4DR,168
AVALONXLE,169
300300S,170
G35,171
F-150PLATINUM,172
TERRAINAWD,173
GXGX,174
MKXAWD,175
TOWN,176
CAMRYXLE,177
VERACRUZAWD,178
FUSIONS,179
CHALLENGER2DR,180
TUNDRA,181
NAVIGATOR4WD,182
LEGACY3.6R,183
GS,184
E-CLASSE350,185
SUBURBAN2WD,186
A44DR,187
REGALTURBO,188
OUTBACK3.6R,189
4RUNNER4WD,190
LEGACY2.5I,191
1,192
YUKON2WD,193
EXPLORER,194
PILOTEX-L,195
200LX,196
M-CLASSML350,197
RAV4XLE,198
WRANGLERSPORT,199
MODEL,200
FJ,201
TITAN,202
TITAN4WD,203
FLEXSEL,204
ODYSSEYTOURING,205
SORENTOSX,206
RAV4BASE,207
ODYSSEYEX,208
EXPLORER4WD,209
MUSTANG2DR,210
EDGELIMITED,211
FUSIONSEL,212
YUKON4DR,213
TOUAREG4DR,214
MATRIX5DR,215
CTCT,216
CHEROKEESPORT,217
6,218
MAXIMA4DR,219
FRONTIER4WD,220
PRIUSTHREE,221
F-350XL,222
500POP,223
RDXAWD,224
TACOMA4WD,225
OPTIMA4DR,226
Q5QUATTRO,227
X3XDRIVE28I,228
RDXFWD,229
X5XDRIVE35I,230
MALIBU4DR,231
EXPEDITIONXLT,232
RANGER2WD,233
PATRIOT4WD,234
QUEST4DR,235
TAURUSSE,236
PATHFINDERS,237
MURANO2WD,238
LS,239
SIENNALIMITED,240
ES,241
SIENNALE,242
F-150LARIAT,243
TITAN2WD,244
DURANGO2WD,245
TAHOE4DR,246
FOCUS4DR,247
YARISBASE,248
TAURUSLIMITED,249
RAV44WD,250
C-CLASS4DR,251
SOUL+,252
TUNDRABASE,253
EXPEDITION,254
IMPALALT,255
SEDONALX,256
SEQUOIA4WD,257
ELANTRALIMITED,258
15002WD,259
SUBURBAN4WD,260
FIESTASE,261
15004WD,262
TUNDRASR5,263
CAMRY,264
RAV4LIMITED,265
RANGERSUPERCAB,266
MDXAWD,267
RAV4LE,268
CHALLENGERR/T,269
FLEXSE,270
FORTELX,271
TRAVERSEFWD,272
LIBERTYSPORT,273
ISIS,274
IMPALA4DR,275
TUNDRA4WD,276
F-250XLT,277
RXRX,278
ARMADA2WD,279
FRONTIER,280
WRANGLERRUBICON,281
EQUINOXAWD,282
PILOTEX,283
TIGUANS,284
ESCALADEAWD,285
DTS4DR,286
PILOT2WD,287
EXPRESS,288
PACIFICALIMITED,289
CANYONEXTENDED,290
MX5,291
ESCAPES,292
IS,293
C-CLASSC350,294
COMPASS4WD,295
SPORTAGEEX,296
LEGACY,297
E-CLASSE,298
DAKOTA4WD,299
300300C,300
FORTE,301
SPORTAGEAWD,302
TAURUSSEL,303
XTERRA4WD,304
GSGS,305
EXPLORER4DR,306
F-150XL,307
SPORTAGESX,308
XB5DR,309
TUNDRALIMITED,310
CRUZELT,311
WRANGLER2DR,312
HIGHLANDERFWD,313
SPRINTER,314
HIGHLANDER,315
PRIUS5DR,316
CX-9GRAND,317
CTS4DR,318
ECONOLINE,319
ACCORDEX,320
RAV4SPORT,321
35004WD,322
CHARGERSE,323
ODYSSEYLX,324
TUCSONAWD,325
CX-7FWD,326
ACCORDLX-S,327
NAVIGATOR4DR,328
ESCAPEXLT,329
TIGUANSE,330
CAYMAN2DR,331
TAURUSSHO,332
F-150FX4,333
RANGER4WD,334
OPTIMASX,335
SEQUOIASR5,336
G64DR,337
HIGHLANDERLIMITED,338
EXPLORERFWD,339
F-350KING,340
PRIUSFIVE,341
YARIS4DR,342
PATRIOTLIMITED,343
LANCER4DR,344
HIGHLANDERSE,345
COMPASSLIMITED,346
S2000MANUAL,347
F-250KING,348
FORESTER2.5X,349
FUSION4DR,350
FRONTIER2WD,351
FOCUSST,352
PATHFINDER2WD,353
SENTRA4DR,354
XF4DR,355
F-250XL,356
PACIFICATOURING,357
MUSTANGDELUXE,358
CALIBER4DR,359
GTI2DR,360
MAZDA34DR,361
FOCUSS,362
SIENNA5DR,363
CR-V4WD,364
CX-9TOURING,365
MAZDA64DR,366
FORESTER4DR,367
1500TRADESMAN,368
MDX4WD,369
ESCALADE,370
TL4DR,371
CX-9AWD,372
CANYON2WD,373
A64DR,374
A8,375
ARMADA4WD,376
IMPREZA2.0I,377
GX,378
QX564WD,379
CC4DR,380
MKZ4DR,381
YARIS,382
FITSPORT,383
REGAL4DR,384
TUNDRA2WD,385
X3AWD,386
SONICSEDAN,387
COBALT4DR,388
RIDGELINERTL,389
CIVICSI,390
AVALONLIMITED,391
XC90FWD,392
OUTLANDER2WD,393
RAV44DR,394
COLORADOEXTENDED,395
EXPEDITIONLIMITED,396
3004DR,397
200TOURING,398
SC,399
X1XDRIVE28I,400
SONICHATCH,401
GLI4DR,402
PILOTSE,403
SAVANA,404
REGALPREMIUM,405
CR-VSE,406
REGALGS,407
XC90AWD,408
EDGESPORT,409
PRIUSFOUR,410
SIENNASE,411
1500LARAMIE,412
300BASE,413
PILOT4WD,414
A34DR,415
HIGHLANDERBASE,416
EXPEDITION4WD,417
STS4DR,418
SOULBASE,419
XTERRA2WD,420
CT,421
TC2DR,422
TIGUAN2WD,423
CR-ZEX,424
MUSTANGSHELBY,425
C702DR,426
WRANGLERX,427
WRANGLERSAHARA,428
DURANGOSXT,429
